study_hours,attendance,previous_score,assignment_score,final_score
2,65,45,50,48
3,70,50,55,53
4,72,55,60,58
5,75,60,65,63
6,80,65,70,68
7,82,70,72,73
8,85,75,78,78
9,88,78,82,82
10,90,82,85,87
11,92,85,88,90
1,60,40,45,42
2,68,48,52,49
3,73,52,58,55
4,76,58,62,60
5,79,62,68,65
6,83,68,73,70
7,86,72,76,75
8,89,76,80,80
9,91,80,84,84
10,94,84,89,88
3,66,46,51,50
4,71,54,57,56
5,77,61,64,63
6,81,66,71,69
7,84,71,75,74
8,87,74,79,78
9,90,79,83,83
10,93,83,87,87
2,62,43,48,46
5,74,59,63,61
6,78,64,69,67
7,81,69,73,72
8,84,73,77,76
9,87,77,81,81
10,91,81,86,86
4,69,51,56,54
5,73,57,61,59
6,77,63,67,65
7,80,67,72,70
8,83,72,76,75
9,86,76,80,80
10,89,80,84,84
11,93,86,90,91
2,64,44,49,47
3,69,49,54,52
4,74,55,59,57
5,78,60,66,63
6,82,65,71,68
7,85,70,74,73
8,88,75,79,78
9,92,79,84,83
